Cards,1 plyrs,2 plyrs,3 plyrs,4 plyrs,5 plyrs,6 plyrs,7 plyrs,8 plyrs,9 plyrs,10 plyrs
J3o,100.00%,45.00%,27.10%,19.10%,14.60%,11.70%,9.80%,8.30%,7.20%,6.30%
J2s,100.00%,47.10%,30.10%,22.60%,18.30%,15.60%,13.70%,12.20%,11.10%,10.20%
J2o,100.00%,44.00%,26.20%,18.40%,14.10%,11.30%,9.40%,8.00%,7.00%,6.20%
TTo,100.00%,75.10%,57.70%,45.20%,36.40%,30.00%,25.30%,21.80%,19.20%,17.20%
T9s,100.00%,54.30%,38.90%,31.00%,26.00%,22.50%,19.80%,17.80%,16.20%,14.90%
T9o,100.00%,51.70%,35.70%,27.70%,22.50%,18.90%,16.20%,14.10%,12.60%,11.30%
T8s,100.00%,52.60%,36.90%,29.00%,24.00%,20.60%,18.10%,16.20%,14.80%,13.60%
T8o,100.00%,50.00%,33.60%,25.40%,20.40%,16.90%,14.40%,12.50%,11.00%,9.90%
T7s,100.00%,51.00%,34.90%,27.00%,22.20%,19.00%,16.60%,14.80%,13.50%,12.40%
T7o,100.00%,48.20%,31.40%,23.40%,18.40%,15.10%,12.80%,11.00%,9.70%,8.60%
T6s,100.00%,49.20%,32.80%,25.10%,20.50%,17.40%,15.20%,13.60%,12.30%,11.20%
T6o,100.00%,46.30%,29.20%,21.20%,16.50%,13.40%,11.20%,9.50%,8.30%,7.30%
T5s,100.00%,47.20%,30.80%,23.30%,18.90%,16.00%,13.90%,12.40%,11.20%,10.20%
T5o,100.00%,44.20%,27.10%,19.30%,14.80%,11.90%,9.90%,8.40%,7.20%,6.40%
T4s,100.00%,46.40%,30.10%,22.70%,18.40%,15.60%,13.60%,12.10%,11.00%,10.00%
T4o,100.00%,43.40%,26.40%,18.70%,14.30%,11.50%,9.50%,8.10%,7.00%,6.20%
T3s,100.00%,45.50%,29.30%,22.00%,17.80%,15.10%,13.20%,11.80%,10.70%,9.80%
T3o,100.00%,42.40%,25.50%,18.00%,13.70%,11.00%,9.10%,7.80%,6.80%,6.00%
T2s,100.00%,44.70%,28.50%,21.40%,17.40%,14.80%,13.00%,11.60%,10.50%,9.70%
T2o,100.00%,41.50%,24.70%,17.30%,13.20%,10.60%,8.80%,7.50%,6.60%,5.80%
99o,100.00%,72.10%,53.50%,41.10%,32.60%,26.60%,22.40%,19.40%,17.20%,15.60%
98s,100.00%,51.10%,36.00%,28.50%,23.60%,20.20%,17.80%,15.90%,14.50%,13.40%
98o,100.00%,48.40%,32.90%,25.10%,20.10%,16.60%,14.20%,12.30%,10.90%,9.90%
97s,100.00%,49.50%,34.20%,26.80%,22.10%,18.90%,16.60%,14.90%,13.60%,12.50%
97o,100.00%,46.70%,30.90%,23.10%,18.40%,15.10%,12.80%,11.10%,9.80%,8.80%
96s,100.00%,47.70%,32.30%,24.90%,20.40%,17.40%,15.30%,13.70%,12.40%,11.40%
96o,100.00%,44.90%,28.80%,21.20%,16.60%,13.50%,11.40%,9.80%,8.70%,7.80%
95s,100.00%,45.90%,30.40%,23.20%,18.80%,16.00%,13.90%,12.40%,11.30%,10.30%
95o,100.00%,42.90%,26.70%,19.20%,14.80%,12.00%,10.00%,8.50%,7.40%,6.60%
94s,100.00%,43.80%,28.40%,21.30%,17.30%,14.60%,12.70%,11.30%,10.30%,9.40%
94o,100.00%,40.70%,24.60%,17.30%,13.20%,10.50%,8.70%,7.30%,6.40%,5.60%
93s,100.00%,43.20%,27.80%,20.80%,16.80%,14.30%,12.50%,11.10%,10.10%,9.20%
93o,100.00%,39.90%,23.90%,16.70%,12.70%,10.10%,8.30%,7.10%,6.10%,5.40%
92s,100.00%,42.30%,27.00%,20.20%,16.40%,13.90%,12.20%,10.90%,9.90%,9.10%
92o,100.00%,38.90%,22.90%,16.00%,12.10%,9.60%,8.00%,6.80%,5.90%,5.20%
88o,100.00%,69.10%,49.90%,37.50%,29.40%,24.00%,20.30%,17.70%,15.80%,14.40%
87s,100.00%,48.20%,33.90%,26.60%,22.00%,18.90%,16.70%,15.00%,13.70%,12.70%
87o,100.00%,45.50%,30.60%,23.20%,18.50%,15.40%,13.10%,11.50%,10.30%,9.30%
86s,100.00%,46.50%,32.00%,25.00%,20.60%,17.60%,15.60%,14.10%,12.90%,11.90%
86o,100.00%,43.60%,28.60%,21.30%,16.90%,13.90%,11.80%,10.40%,9.20%,8.30%
85s,100.00%,44.80%,30.20%,23.20%,19.10%,16.30%,14.30%,12.90%,11.80%,10.90%
85o,100.00%,41.70%,26.50%,19.40%,15.20%,12.40%,10.50%,9.10%,8.10%,7.30%
84s,100.00%,42.70%,28.10%,21.40%,17.40%,14.80%,13.00%,11.70%,10.60%,9.80%
84o,100.00%,39.60%,24.40%,17.50%,13.40%,10.80%,9.00%,7.80%,6.80%,6.10%
83s,100.00%,40.80%,26.30%,19.80%,16.00%,13.60%,11.90%,10.70%,9.70%,8.90%
83o,100.00%,37.50%,22.40%,15.70%,11.90%,9.50%,7.90%,6.70%,5.80%,5.10%
82s,100.00%,40.30%,25.80%,19.40%,15.70%,13.30%,11.70%,10.50%,9.60%,8.80%
82o,100.00%,36.80%,21.70%,15.10%,11.40%,9.10%,7.50%,6.40%,5.60%,4.90%
77o,100.00%,66.20%,46.40%,34.40%,26.80%,21.90%,18.60%,16.40%,14.80%,13.70%
76s,100.00%,45.70%,32.00%,25.10%,20.80%,18.00%,15.90%,14.40%,13.20%,12.30%
76o,100.00%,42.70%,28.50%,21.50%,17.10%,14.20%,12.20%,10.80%,9.60%,8.80%
75s,100.00%,43.80%,30.10%,23.40%,19.40%,16.70%,14.80%,13.40%,12.30%,11.40%
75o,100.00%,40.80%,26.50%,19.70%,15.50%,12.80%,11.00%,9.70%,8.70%,7.90%
74s,100.00%,41.80%,28.20%,21.70%,17.90%,15.30%,13.50%,12.20%,11.20%,10.40%
74o,100.00%,38.60%,24.50%,17.90%,13.90%,11.40%,9.70%,8.50%,7.60%,6.80%
73s,100.00%,40.00%,26.30%,20.00%,16.40%,14.00%,12.30%,11.10%,10.10%,9.30%
73o,100.00%,36.60%,22.40%,16.00%,12.30%,9.90%,8.40%,7.20%,6.40%,5.70%
72s,100.00%,38.10%,24.50%,18.40%,15.00%,12.80%,11.20%,10.10%,9.20%,8.50%
72o,100.00%,34.60%,20.40%,14.20%,10.70%,8.60%,7.20%,6.10%,5.40%,4.80%
66o,100.00%,63.30%,43.20%,31.50%,24.50%,20.10%,17.30%,15.40%,14.00%,13.10%
65s,100.00%,43.20%,30.20%,23.70%,19.70%,17.00%,15.20%,13.80%,12.70%,11.90%
65o,100.00%,40.10%,26.70%,20.00%,15.90%,13.30%,11.50%,10.20%,9.20%,8.50%
64s,100.00%,41.40%,28.50%,22.10%,18.40%,15.90%,14.20%,12.90%,11.90%,11.10%
64o,100.00%,38.00%,24.70%,18.20%,14.40%,12.00%,10.30%,9.20%,8.30%,7.60%
63s,100.00%,39.40%,26.50%,20.40%,16.80%,14.50%,12.90%,11.70%,10.80%,10.00%
63o,100.00%,35.90%,22.70%,16.40%,12.80%,10.60%,9.10%,8.00%,7.20%,6.50%
62s,100.00%,37.50%,24.80%,18.80%,15.40%,13.30%,11.80%,10.70%,9.80%,9.10%
62o,100.00%,34.00%,20.70%,14.60%,11.20%,9.10%,7.80%,6.80%,6.00%,5.40%
55o,100.00%,60.30%,40.10%,28.80%,22.40%,18.50%,16.00%,14.40%,13.20%,12.30%
54s,100.00%,41.10%,28.80%,22.60%,18.90%,16.50%,14.80%,13.50%,12.50%,11.70%
54o,100.00%,37.90%,25.20%,18.80%,15.00%,12.60%,11.00%,9.80%,8.90%,8.20%
53s,100.00%,39.30%,27.10%,21.10%,17.50%,15.20%,13.70%,12.50%,11.60%,10.80%
53o,100.00%,35.80%,23.30%,17.10%,13.60%,11.40%,9.90%,8.80%,8.00%,7.30%
52s,100.00%,37.50%,25.30%,19.50%,16.10%,14.00%,12.50%,11.40%,10.60%,9.80%
52o,100.00%,33.90%,21.30%,15.30%,12.00%,10.00%,8.60%,7.60%,6.80%,6.20%
44o,100.00%,57.00%,36.80%,26.30%,20.60%,17.30%,15.20%,13.90%,12.90%,12.10%
43s,100.00%,38.00%,26.20%,20.30%,16.90%,14.70%,13.10%,12.00%,11.10%,10.30%
43o,100.00%,34.40%,22.30%,16.30%,12.80%,10.70%,9.30%,8.30%,7.50%,6.80%
42s,100.00%,36.30%,24.60%,18.80%,15.70%,13.70%,12.30%,11.20%,10.40%,9.60%
42o,100.00%,32.50%,20.50%,14.70%,11.50%,9.50%,8.30%,7.30%,6.60%,6.00%
33o,100.00%,53.70%,33.50%,23.90%,19.00%,16.20%,14.60%,13.50%,12.60%,12.00%
32s,100.00%,35.10%,23.60%,18.00%,14.90%,13.00%,11.70%,10.70%,9.90%,9.20%
32o,100.00%,31.20%,19.50%,13.90%,10.80%,8.90%,7.70%,6.80%,6.10%,5.60%
22o,100.00%,50.30%,30.70%,22.00%,17.80%,15.50%,14.20%,13.30%,12.50%,12.00%
